date,actual,forecast
1981-02-01,0.039239269372032363,-0.033815067
1981-03-01,-0.01977970880881031,0.008325577
1981-04-01,0.002327266221333016,-0.04438191
1981-05-01,-0.00641240032170662,0.21854506
1981-06-01,0.0018739448692041217,0.06321663
1981-07-01,-0.05972501011842673,-0.011936359
1981-08-01,-0.050669116992358584,0.00084749237
1981-09-01,0.05245091044309915,-0.081368744
1981-10-01,0.04027599595369511,-0.0016600266
1981-11-01,-0.02603849215789387,0.030455967
1981-12-01,-0.013100534376089728,-0.06977504
1982-01-01,-0.0575420129078889,0.06219413
1982-02-01,-0.005229812921633657,0.027767964
1982-03-01,0.044053637443588624,-0.113471344
1982-04-01,-0.03491190566697392,-0.09782748
1982-05-01,-0.015334166690015397,0.09119451
1982-06-01,-0.017963401453813293,-0.022612736
1982-07-01,0.11448627395039215,0.11156388
1982-08-01,0.012314735272443754,0.06370424
1982-09-01,0.10895188532040184,-0.01651967
1982-10-01,0.039605687097850055,0.18434149
1982-11-01,0.019106755458588087,-0.07845986
1982-12-01,0.036537133631078834,-0.01336528
1983-01-01,0.022691198611386937,-0.01879742
1983-02-01,0.03631638467994263,0.029636454
1983-03-01,0.0757488223732237,0.0645946
1983-04-01,-0.008873335300424005,0.002976317
1983-05-01,0.03805198139029733,-0.09376972
1983-06-01,-0.030009799172532936,0.028109338
1983-07-01,0.0147871922260558,0.04452142
1983-08-01,0.01361332393183182,-0.06685897
1983-09-01,-0.01171504917338101,0.0085904375
1983-10-01,0.02080519571257807,-0.04606112
1983-11-01,-0.005297460324182735,0.07539226
1983-12-01,-0.005634388639164597,-0.004947819
1984-01-01,-0.03584799295994244,-0.039460413
1984-02-01,0.017159540043459463,0.037430912
1984-03-01,0.009204549988725283,0.028899789
1984-04-01,-0.0571767887813562,0.06747292
1984-05-01,0.02128736186493642,-0.06504109
1984-06-01,-0.01254003755271074,0.068881445
1984-07-01,0.10472145746141394,0.055793796
1984-08-01,0.00020996115795714963,0.025222376
1984-09-01,0.0036607606278589123,-0.021964885
1984-10-01,-0.011424312852020998,-0.0027449876
1984-11-01,0.025872810440279483,0.08873045
1984-12-01,0.07497650901597089,0.10657268
1985-01-01,0.012143980065927764,0.013153426
1985-02-01,0.000597720404198686,-0.029094046
1985-03-01,-0.0010491728322864391,0.023143021
1985-04-01,0.05602621602706487,0.016580071
1985-05-01,0.015417337402190083,0.039456956
1985-06-01,-0.0014721411866167014,-0.056260943
1985-07-01,-0.00862415534529241,0.004697781
1985-08-01,-0.03175952915705742,0.045783762
1985-09-01,0.04507480142110704,0.014796056
1985-10-01,0.06627550080949357,0.06581032
1985-11-01,0.04718642422869332,0.10856186
1985-12-01,0.005483172886960171,-0.050953776
1986-01-01,0.07197579498137024,0.081544176
1986-02-01,0.05424116032942566,-0.024679027
1986-03-01,-0.011406135138689811,-0.013679872
1986-04-01,0.05172475116506371,-0.024828494
1986-05-01,0.016698292234671612,0.019846339
1986-06-01,-0.05760524909546525,-0.00077977777
1986-07-01,0.07146626700711148,0.054248225
1986-08-01,-0.08635025557432009,-0.026636072
1986-09-01,0.056096978452172985,0.001891695
1986-10-01,0.024009039642862315,0.024361707
1986-11-01,-0.02585089488904868,0.032464337
1986-12-01,0.12630049087137352,0.006033876
1987-01-01,0.038694806630867974,-0.026329719
1987-02-01,0.028427412203217754,-0.011710547
1987-03-01,-0.00909159785297974,-0.016731925
1987-04-01,0.008443239922902631,0.04886442
1987-05-01,0.04913481349216095,-0.06536571
1987-06-01,0.049334781398275074,-0.024115965
1987-07-01,0.03653574389532028,0.06910141
1987-08-01,-0.02222308000305096,0.05784359
1987-09-01,-0.242549502798927,0.104829594
1987-10-01,-0.08604783454357738,0.051284157
1987-11-01,0.07329633049483354,-0.06662017
1987-12-01,0.042503167572927984,0.009227693
1988-01-01,0.04373317052293114,-0.047256283
1988-02-01,-0.031035104892061672,0.041003745
1988-03-01,0.01226031816958135,0.02354034
1988-04-01,0.0060711094357185575,-0.060418945
1988-05-01,0.04515497989492431,0.049751803
1988-06-01,-0.0025789879772200102,-0.017214656
1988-07-01,-0.036379293103806346,-0.04230298
1988-08-01,0.041855415694628015,-0.060527407
1988-09-01,0.02848380033986596,-0.0048751533
1988-10-01,-0.016136797285261573,-0.0073950365
1988-11-01,0.01750213310105705,0.02053263
1988-12-01,0.0714519176641045,-0.0070196167
1989-01-01,-0.02651234980397932,-0.06625697
1989-02-01,0.02341765775713347,0.018437337
1989-03-01,0.05159832580469002,-0.057464212
1989-04-01,0.03719548091823333,-0.022467136
1989-05-01,-0.005242721951485764,0.0016513765
1989-06-01,0.08720419896826391,-0.013438582
1989-07-01,0.01791057321473284,0.016057251
1989-08-01,-0.0040071643632801895,0.04390776
1989-09-01,-0.022846967326421618,0.058357157
1989-10-01,0.01903939921367884,0.027682386
1989-11-01,0.023794114587160912,0.024066884
1989-12-01,-0.06848197983521519,0.024963902
1990-01-01,0.011318531292837893,0.0160333
1990-02-01,0.026736210115186954,0.009784946
1990-03-01,-0.02437916889671622,0.007733211
1990-04-01,0.09066141513299664,0.05133232
1990-05-01,-0.006215002586292415,-0.03191395
1990-06-01,-0.0024983233219865813,0.053625353
1990-07-01,-0.09602485788782322,0.044730686
1990-08-01,-0.04932361806260666,-0.019951034
1990-09-01,-0.0034591153122336834,0.013971587
1990-10-01,0.061306020158801634,0.11560476
1990-11-01,0.027569902044143255,0.037494592
1990-12-01,0.043605108554206407,0.039376393
1991-01-01,0.06785808234312889,-0.021625537
1991-02-01,0.024645877982799207,0.027540382
